分数,位次区间,同分人数,建议位次
189,135180-135189,10,135189
188,135190-135199,10,135199
187,135200-135206,7,135206
186,135207-135213,7,135213
185,135214-135217,4,135217
184,135218-135222,5,135222
183,135223-135226,4,135226
182,135227-135233,7,135233
181,135234-135239,6,135239
180,135240-135244,5,135244
179,135245-135250,6,135250
178,135251-135255,5,135255
177,135256-135262,7,135262
176,135263-135266,4,135266
175,135267-135271,5,135271
174,135272-135275,4,135275
173,135276-135281,6,135281
172,135282-135285,4,135285
171,135286-135289,4,135289
170,135290-135291,2,135291
169,135292-135296,5,135296
168,135297-135298,2,135298
167,135299-135300,2,135300
166,135301-135304,4,135304
165,135305-135308,4,135308
164,135309-135312,4,135312
163,135313-135316,4,135316
162,135317-135322,6,135322
161,135323-135324,2,135324
160,135325-135327,3,135327
159,135328-135329,2,135329
158,135330-135330,1,135330
157,135331-135332,2,135332
156,135333-135334,2,135334
155,135335-135339,5,135339
154,135340-135340,1,135340
153,135341-135342,2,135342
152,135343-135347,5,135347
151,135348-135350,3,135350
150,135351-135352,2,135352
